short_name,full_name,taxonomic_name,functional_group,life_history
B_Echin,Bleached_Echinophyllia,Echinophyllia,Hard_coral,Stress_Tolerant
ECHIN,Echinophyllia,Echinophyllia,Hard_coral,Stress_Tolerant
B_FavHal,Bleached_Favites_halicora,Favites,Hard_coral,Stress_Tolerant
B_Favites,Bleached_Favites,Favites,Hard_coral,Stress_Tolerant
B_FavPent,Bleached_Favites_pentagona,Favites,Hard_coral,Stress_Tolerant
Fav,Favites,Favites,Hard_coral,Stress_Tolerant
FavHal,Favites_halicora,Favites,Hard_coral,Stress_Tolerant
FavPent,Favites_pentagona,Favites,Hard_coral,Stress_Tolerant
Fung,Fungia,Fungiidae,Hard_coral,Stress_Tolerant
B_Fung,Bleached_Fungia,Fungiidae,Hard_coral,Stress_Tolerant
B_Herpo,Bleached_Herpolitha,Fungiidae,Hard_coral,Stress_Tolerant
B_Sando,Bleached_Sandolitha,Fungiidae,Hard_coral,Stress_Tolerant
Sando,Sandolitha,Fungiidae,Hard_coral,Stress_Tolerant
Herpo,Herpolitha,Fungiidae,Hard_coral,Stress_Tolerant
BGard,Bleached_Gardineroseris,Gardineroseris_planulata,Hard_coral,Stress_Tolerant
Gardin,Gardineroseris,Gardineroseris_planulata,Hard_coral,Stress_Tolerant
B_GonEd,Bleached_Goniastrea_edwardsi,Goniastrea_edwardsi,Hard_coral,Stress_Tolerant
GonEd,Goniastrea_edwardsi,Goniastrea_edwardsi,Hard_coral,Stress_Tolerant
B_FaviaSt,Bleached_Goniastrea_stelligera,Goniastrea_stelligera,Hard_coral,Stress_Tolerant
FaviaSt,Favia_stelligera,Goniastrea_stelligera,Hard_coral,Stress_Tolerant
B_HYDNO,Bleached_Hydnophora,Hydnophora_microconos,Hard_coral,Stress_Tolerant
HYDNO,Hydnophora,Hydnophora_microconos,Hard_coral,Stress_Tolerant
B_Lepto,Bleached_Leptoseris,Leptoseris_myceteroides,Hard_coral,Stress_Tolerant
Lepto,Leptoseris,Leptoseris_myceteroides,Hard_coral,Stress_Tolerant
